image_id,caption_meteor_score_mean,caption_meteor_score_std,caption_bleu_score_mean,caption_bleu_score_std,caption_wordnet_similarity_mean,caption_wordnet_similarity_std,caption_lexical_similarity_mean,caption_lexical_similarity_std,caption_semantic_similarity_mean,number_of_unique_words,number_of_unique_nouns,number_of_unique_verbs,number_of_unique_adjectives,number_of_unique_adverbs,number_of_unique_pronouns,number_of_unique_determiners,number_of_unique_conjunctions,number_of_unique_prepositions,complexity,category,avg_region_similarity,# of SAM segmentations,# of FC-CLIP classes
imm(01).bmp,0.1958509593564221,0.1904305669585866,0.0476011557061621,0.1188750370936145,0.0830776512019463,0.0200668357569777,0.3561424269127256,0.1279671019432002,0.2876079,28,23,3,8,0,0,0,0,0,0.6652438557000001,test,0.3741982281208038,150,29
imm(02).bmp,0.2517152778231318,0.1530924486435399,0.0376769810471946,0.0994260067448304,0.0816006115037053,0.0224142712483912,0.4181088300436013,0.130243883994251,0.27064762,21,14,5,6,0,0,0,0,1,0.3864751703999999,test,0.357450932264328,18,5
imm(03).bmp,0.2531914147210509,0.1381506383238108,0.014026597951613,0.0657735825264614,0.0702340067260969,0.0181749841737585,0.44607331227711,0.1246488703122172,0.29112247,27,16,7,9,0,0,0,0,2,0.2678590128,test,0.3838145136833191,36,7
imm(04).bmp,0.3080660111263454,0.2322111624913195,0.0417809099987436,0.1778344311721413,0.105854700129985,0.0270894489988694,0.5253196102074241,0.1883310982647401,0.3234768,33,22,4,9,2,0,0,0,1,0.3790968316,test,0.4005111753940582,52,4
imm(05).bmp,0.2593364084335561,0.1581197639905202,0.0137080971630359,0.0689031274006399,0.1038927741181947,0.0329178680426076,0.3995783471322585,0.1177586972931912,0.27640298,28,13,5,11,2,0,0,0,2,0.3414436146,test,0.2990573048591614,43,9
imm(06).bmp,0.4574725525866948,0.1939546436865989,0.0727329758566962,0.1497848510796759,0.1623717553781707,0.0197056386265583,0.5960899049031233,0.1492262542215779,0.3251223,42,28,9,15,0,0,0,0,1,0.09640032131,test,0.2578035295009613,21,2
imm(07).bmp,0.3067295134946612,0.2746390814971591,0.0942583177397624,0.248437783890577,0.1050465532613239,0.0272141002317112,0.4689224587039043,0.1811859105927879,0.3081572,48,30,8,15,1,0,0,1,2,0.805084799,test,0.2863270938396454,248,31
imm(08).bmp,0.3251716464704821,0.1284217711054834,0.1217968137835348,0.1407675708939607,0.1131191412426626,0.0313996225989531,0.4873137602948348,0.0996959153071892,0.3399478,55,36,8,16,1,0,0,0,1,0.3603168485999999,test,0.2597896456718445,95,4
imm(09).bmp,0.3230511838789203,0.2020447719884162,0.0329218687525683,0.0964845070475345,0.0921436087540556,0.0396491068316322,0.4253285690196339,0.145171485211324,0.3124596,39,20,9,14,1,1,0,0,0,0.7882293407000001,test,0.2325792014598846,251,35
imm(10).bmp,0.4211190419678657,0.1899769905142288,0.0811102084973004,0.1867332521990661,0.1190192964741081,0.0303134067388084,0.5785573131439244,0.1471353112731101,0.36207378,29,17,6,10,0,0,0,0,1,0.7521109337,test,0.4751259982585907,135,5
imm(11).bmp,0.1999458710941296,0.1170792168028172,8.844657940644132e-80,5.933176917904074e-79,0.092403305129912,0.0187369524320659,0.3691043312993192,0.1127072278590938,0.27983105,22,15,7,5,0,0,0,0,1,0.5947581095000001,test,0.5042940974235535,86,3
imm(12).bmp,0.205359149085513,0.124415400585141,2.1913109372601956e-79,8.560293115088629e-79,0.0765496877875743,0.022444365831018,0.360588331655356,0.1187939518723369,0.3066177,34,25,6,9,0,0,0,0,1,0.442160184,test,0.3318720459938049,63,10
