image_id,matrix_index,rating,standardized_rating,normalized_rating,rank,standardized_rank,normalized_rank,parameter,std_error,ci_lower,ci_upper,p_value
2358947,88,0.009554965693085163,1.0,1.0,1,0.0,1.0,0.7102179865210145,0.09260049990877835,0.5287243417494044,0.8917116312926247,1.7319479184152442e-14
2354325,77,0.00938395948804995,0.9768,0.9768,2,0.005,0.995,0.69215879351413,0.09553227996459222,0.5049189654225319,0.8793986216057281,4.3143266736933583e-13
2342799,49,0.009041582579000493,0.9305,0.9305,3,0.0101,0.9899,0.6549912224333914,0.09134718893861271,0.4759540220247348,0.8340284228420479,7.480682739924305e-13
2334660,40,0.008833577342593336,0.9023,0.9023,4,0.0151,0.9849,0.6317170669348529,0.09220821900208365,0.45099227861218705,0.8124418552575187,7.334355345278709e-12
2343868,54,0.008631461959444378,0.875,0.875,5,0.0201,0.9799,0.6085708943894053,0.09918614018123273,0.41416963186864797,0.8029721569101625,8.481464419674012e-10
2317100,15,0.008456261769414825,0.8512,0.8512,6,0.0251,0.9749,0.5880642040392126,0.10179490048114279,0.3885498652863337,0.7875785427920914,7.60661955645503e-09
2374977,115,0.008426889620594945,0.8473,0.8473,7,0.0302,0.9698,0.5845847377032609,0.10554968554862657,0.37771115544842504,0.7914583199580968,3.051094799033649e-08
2395971,158,0.008412369711991793,0.8453,0.8453,8,0.0352,0.9648,0.5828602067230202,0.10056048152189417,0.385765284672102,0.7799551287739384,6.786836648231542e-09
2358219,85,0.008105090819651679,0.8037,0.8037,9,0.0402,0.9598,0.5456493598131328,0.10172512324675671,0.3462717819265914,0.7450269376996741,8.141752738666241e-08
2409779,184,0.008086407985871156,0.8012,0.8012,10,0.0452,0.9548,0.5433416250819103,0.1088083136960984,0.33008124901902114,0.7566020011447995,5.927415169804107e-07
498391,12,0.008068341373912175,0.7987,0.7987,11,0.0503,0.9497,0.5411049305856243,0.0995408361996294,0.34600847664334977,0.7362013845278987,5.448705286958955e-08
2409815,185,0.008029412984031635,0.7934,0.7934,12,0.0553,0.9447,0.5362684217287081,0.09583858933395142,0.3484282383050388,0.7241086051523775,2.1993928456254253e-08
